strikePrice,expiryDate,underlying,identifier,pe_openInterest,pe_changeinOpenInterest,pe_pchangeinOpenInterest,pe_totalTradedVolume,pe_impliedVolatility,pe_lastPrice,pe_change,pe_pChange,pe_totalBuyQuantity,pe_totalSellQuantity,pe_bidQty,pe_bidprice,pe_askQty,pe_askPrice,pe_underlyingValue
4000,29-May-2025,ABB,OPTSTKABB29-05-2025PE4000.00,8,0,0,0,0,7.7,0,0,16000,875,125,2,125,6.25,5428
4200,29-May-2025,ABB,OPTSTKABB29-05-2025PE4200.00,23,2,9.523809523809524,11,53.42,9.45,-1.1500000000000004,-10.849056603773588,29875,1125,125,3.3,125,9.4,5428
4400,29-May-2025,ABB,OPTSTKABB29-05-2025PE4400.00,19,4,26.666666666666668,7,49.5,14.7,-2.8500000000000014,-16.239316239316246,37875,875,125,8.05,125,15.55,5428
4500,29-May-2025,ABB,OPTSTKABB29-05-2025PE4500.00,102,24,30.76923076923077,85,48.19,19.45,-3.900000000000002,-16.702355460385444,10750,11500,125,18.8,125,20.45,5428
4600,29-May-2025,ABB,OPTSTKABB29-05-2025PE4600.00,117,5,4.464285714285714,32,47.69,27.35,0.3000000000000007,1.1090573012939027,5250,4625,250,25.25,125,31.7,5428
4700,29-May-2025,ABB,OPTSTKABB29-05-2025PE4700.00,38,5,15.151515151515152,26,47.95,39.8,-2.75,-6.46298472385429,1500,1750,250,34.05,125,36.2,5428
4800,29-May-2025,ABB,OPTSTKABB29-05-2025PE4800.00,151,8,5.594405594405594,64,45.97,48.75,-0.9500000000000028,-1.9114688128772692,8250,6500,125,46.25,125,48.35,5428
4900,29-May-2025,ABB,OPTSTKABB29-05-2025PE4900.00,112,7,6.666666666666667,41,45.23,64.35,1.0999999999999943,1.7391304347825998,5375,3125,125,61.15,125,64.15,5428
5000,29-May-2025,ABB,OPTSTKABB29-05-2025PE5000.00,439,-164,-27.197346600331674,408,44.67,84.5,3.299999999999997,4.064039408866991,13125,10625,125,81.2,125,83.4,5428
5100,29-May-2025,ABB,OPTSTKABB29-05-2025PE5100.00,342,25,7.886435331230284,140,43.95,108.5,3.549999999999997,3.3825631252977577,15125,7750,125,106.15,125,108.85,5428
5200,29-May-2025,ABB,OPTSTKABB29-05-2025PE5200.00,242,17,7.555555555555555,501,43.52,138.9,8.900000000000006,6.84615384615385,15000,8375,125,136.65,125,139.4,5428
5300,29-May-2025,ABB,OPTSTKABB29-05-2025PE5300.00,211,-4,-1.8604651162790697,221,43.44,177,12.949999999999989,7.893934775982925,14875,9000,125,174.15,250,177.55,5428
5400,29-May-2025,ABB,OPTSTKABB29-05-2025PE5400.00,351,128,57.399103139013455,654,43.5,222,20.599999999999994,10.228401191658389,15250,8000,250,218.15,250,221.8,5428
5500,29-May-2025,ABB,OPTSTKABB29-05-2025PE5500.00,390,-50,-11.363636363636363,803,43.87,275,27.150000000000006,10.954206173088563,10875,6625,250,270.15,125,273.35,5428
5600,29-May-2025,ABB,OPTSTKABB29-05-2025PE5600.00,331,-16,-4.610951008645533,147,43.72,331,23.30000000000001,7.572310692232698,6875,10125,125,327.15,125,332.35,5428
5700,29-May-2025,ABB,OPTSTKABB29-05-2025PE5700.00,197,8,4.232804232804233,50,44.43,397.6,15.5,4.056529704265898,6625,6125,250,392.35,250,398.85,5428
5800,29-May-2025,ABB,OPTSTKABB29-05-2025PE5800.00,111,9,8.823529411764707,29,41.15,447.95,-0.5500000000000114,-0.12263099219621212,9125,7750,125,460.4,625,491.55,5428
5900,29-May-2025,ABB,OPTSTKABB29-05-2025PE5900.00,44,9,25.714285714285715,10,44.27,537.25,99.75,22.8,8000,8625,250,532.25,125,543.9,5428
6000,29-May-2025,ABB,OPTSTKABB29-05-2025PE6000.00,229,8,3.6199095022624435,15,44.59,615.8,57.799999999999955,10.358422939068092,7875,8625,125,612.05,125,625.25,5428
6100,29-May-2025,ABB,OPTSTKABB29-05-2025PE6100.00,16,5,45.45454545454545,6,45.37,699.85,37.85000000000002,5.717522658610275,7500,8250,125,695.65,125,712.95,5428
6200,29-May-2025,ABB,OPTSTKABB29-05-2025PE6200.00,14,1,7.6923076923076925,2,46.34,787.35,67.55000000000007,9.384551264240077,7625,8125,125,778.2,125,794.85,5428
6400,29-May-2025,ABB,OPTSTKABB29-05-2025PE6400.00,73,0,0,0,0,831.1,0,0,7750,7750,375,952.75,375,1002.55,5428
6800,29-May-2025,ABB,OPTSTKABB29-05-2025PE6800.00,338,0,0,1,51.28,1343.25,-6.75,-0.5,7625,7375,125,1342.65,500,1368.75,5428
